image_path,mask_path
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_138\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_138\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI259-HH-1804-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI259-HH-1804-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_150\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_150\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_116\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_116\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI109-Guys-0732-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI109-Guys-0732-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI350-Guys-0908-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI350-Guys-0908-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI017-Guys-0698-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI017-Guys-0698-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_18\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_18\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI157-Guys-0816-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI157-Guys-0816-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI040-Guys-0724-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI040-Guys-0724-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI014-HH-1236-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI014-HH-1236-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI206-HH-1650-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI206-HH-1650-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI569-Guys-1101-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI569-Guys-1101-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_26\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_26\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_118\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_118\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI254-HH-1705-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI254-HH-1705-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI318-Guys-0895-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI318-Guys-0895-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI074-Guys-0771-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI074-Guys-0771-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI095-HH-1390-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI095-HH-1390-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI321-Guys-0903-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI321-Guys-0903-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_142\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_142\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI532-IOP-1145-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI532-IOP-1145-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI280-HH-1860-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI280-HH-1860-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI114-Guys-0737-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI114-Guys-0737-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_21\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_21\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_134\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_134\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI045-Guys-0713-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI045-Guys-0713-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_121\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_121\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_120\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_120\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI031-Guys-0797-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI031-Guys-0797-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI531-Guys-1057-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI531-Guys-1057-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI500-Guys-1017-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI500-Guys-1017-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_135\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_135\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_128\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_128\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI630-Guys-1108-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI630-Guys-1108-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI473-IOP-1137-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI473-IOP-1137-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI307-IOP-0872-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI307-IOP-0872-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI110-Guys-0733-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI110-Guys-0733-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_125\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_125\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI533-Guys-1066-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI533-Guys-1066-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_144\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_144\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_22\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_22\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI633-HH-2689-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI633-HH-2689-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI156-Guys-0837-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI156-Guys-0837-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI201-HH-1588-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI201-HH-1588-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_15\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_15\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI253-HH-1694-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI253-HH-1694-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_140\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_140\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI261-HH-1704-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI261-HH-1704-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_139\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_139\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI159-HH-1549-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI159-HH-1549-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_106\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_106\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI077-Guys-0752-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI077-Guys-0752-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI180-HH-1605-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI180-HH-1605-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI027-Guys-0710-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI027-Guys-0710-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI292-IOP-0877-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI292-IOP-0877-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI184-Guys-0794-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI184-Guys-0794-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI030-Guys-0708-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI030-Guys-0708-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI256-HH-1723-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI256-HH-1723-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI037-Guys-0704-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI037-Guys-0704-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI436-HH-2153-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI436-HH-2153-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI186-Guys-0796-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI186-Guys-0796-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_111\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_111\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_127\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_127\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI310-IOP-0890-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI310-IOP-0890-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_115\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_115\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI642-Guys-1104-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI642-Guys-1104-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI230-IOP-0869-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI230-IOP-0869-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_126\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_126\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_19\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_19\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_23\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_23\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_143\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_143\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI038-Guys-0729-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI038-Guys-0729-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI107-Guys-0761-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI107-Guys-0761-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_137\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_137\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_101\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\asl_t1_101\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI460-Guys-0999-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI460-Guys-0999-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI111-Guys-0734-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI111-Guys-0734-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_16\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_16\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI488-Guys-1015-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI488-Guys-1015-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI026-Guys-0696-T1\raw.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\IXI026-Guys-0696-T1\mask_GT.nii.gz
E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_20\image.nii.gz,E:\Tese\Datasets\Rempe\processed_datasets\treino\infant_t1_20\mask_GT.nii.gz
